-14379409.3984422516	  inf
-12754724.9773741122	1.12987e-01
-12713527.2898570281	3.22999e-03
-12639067.3983736336	5.85675e-03
-12526661.4838870149	8.89353e-03
-12416348.6766692176	8.80624e-03
-12338084.3509802539	6.30333e-03
-12287322.2501050793	4.11426e-03
-12253293.3196036760	2.76943e-03
-12228962.4141162150	1.98566e-03
-12211657.6660778429	1.41506e-03
-12200063.2731515318	9.49453e-04
-12192489.8154082242	6.20772e-04
-12187453.2956593707	4.13084e-04
-12183913.9142905008	2.90412e-04
-12181396.5491595212	2.06614e-04
-12179364.4689739272	1.66818e-04
-12177664.2994445339	1.39594e-04
-12176151.5698536094	1.24222e-04
-12174802.5001498889	1.10796e-04
-12173527.9277179874	1.04689e-04
-12172318.9592627846	9.93113e-05
