-14396573.0188302528	  inf
-12753216.6597803533	1.14149e-01
-12710118.3718283512	3.37941e-03
-12641549.4788781386	5.39483e-03
-12553239.5591359586	6.98569e-03
-12469923.8499031756	6.63699e-03
-12399832.0195385739	5.62087e-03
-12340251.4839372411	4.80495e-03
-12294468.1488195416	3.71008e-03
-12263201.6881671548	2.54313e-03
-12243081.2341559809	1.64072e-03
-12229994.3501742519	1.06892e-03
-12221028.1183256470	7.33135e-04
-12214483.0327384770	5.35559e-04
-12209317.3214124851	4.22917e-04
-12205070.4029139280	3.47842e-04
-12201653.5374577865	2.79955e-04
-12198903.3450808953	2.25395e-04
-12196681.5673034303	1.82129e-04
-12194843.4176198561	1.50709e-04
-12193222.8691192195	1.32888e-04
-12191763.0756104365	1.19722e-04
-12190406.4543772731	1.11274e-04
-12189174.6580536105	1.01046e-04
-12187949.2735041995	1.00531e-04
-12186713.4793407731	1.01395e-04
-12185475.4972577263	1.01585e-04
-12184225.1099944357	1.02613e-04
-12183062.3910392616	9.54282e-05
